Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Agathi leaves,8.01,2.42,1.35,8.6,5.21,295,0.26,0.33,1.18,0.53,0.22,7.75,76.44,121,0.01,450.5,0.125,4.36,96.64,1.24,0.068,52.52,674,18.12,0.53
Allathi,21.77,1.06,0.98,0.01,0.01,406,0.08,0.04,3.67,0.72,194,0.01,438.44,0.01,0.01,6.89,0.015,0.62,29.08,0.01,0.004,215,286,32.68,0.3
Almond,18.45,1.375,29.265,6.685,1.64,1276.5,0.087,0.153,1.975,0.41,0.048,1.37,308.44,0.405,0.6,119.1,0.57,2.6,183.75,1.37,0.078,234.6,371.2,1.005,1.8
Aluva,21.91,0.735,1.155,0.01,0.01,225.5,0.03,0.01,1.425,0.43,83.25,0.01,439.44,0.01,0.01,6.695,0.025,0.22,18.005,0.005,0.002,129.45,265.65,25.83,0.2
Amaranth leaves,3.673,1.802,0.423,3.215,1.81,93.833,0.007,0.168,0.457,0.273,0.144,1.877,78.44,58.548,2.467,158.7,0.127,4.337,128.85,1.273,0.021,51.955,427.833,11.515,0.875
Amaranth seed,14.1,2.228,4.342,5.4,45.505,1119.75,0.032,0.032,0.368,0.198,0.338,1.487,27.94,0.01,2.46,89.675,0.568,6.902,238.3,3.822,0.189,295.5,331.225,2.108,2.01
Amaranth spinosus,3.325,2.388,0.265,4.14,1.228,78.25,0.008,0.11,0.522,0.242,0.168,2.245,80.94,61.35,2.74,192.675,0.158,4.28,161.05,1.265,0.017,65.882,455.75,12.425,1.072
Anchovy,19.88,1.62,0.78,0.01,0.01,367,0.03,0.04,0.91,1.21,61.25,0.01,440.44,0.01,0.01,18.3,0.02,0.54,53,0.07,0.004,246,270,212,0.65
Apple,0.382,0.199,0.376,1.482,8.491,165,0.014,0.011,0.109,0.079,0.035,0.291,189.94,2.571,0.088,4.602,0.071,0.156,3.856,0.03,0.658,6.28,68.328,0.989,0.056
Apricot,2.54,1.092,0.363,1.012,21.178,394.5,0.078,0.023,0.73,0.255,0.072,0.875,192.94,2.573,0.9,9.68,0.232,1.027,5.188,0.103,0.037,26.758,97.05,1.42,0.185
Arecanut,5.31,0.965,3.315,6.465,38.743,835.5,0.027,0.061,0.513,0.107,0.181,1.388,310.44,0.01,0.675,28.435,0.738,1.615,49.09,1.462,0.052,70.777,327.9,7.422,0.557
Ari fish,22.01,1.34,1.11,0.01,0.01,415,0.06,0.03,3.65,0.23,218,0.01,441.44,0.01,0.01,2.18,0.01,0.47,30.27,0.01,0.006,265,447,37.35,0.31
Asafoetida,6.87,3.01,0.64,2.73,36.33,698,0.428,0.008,0.24,0.085,0.012,1.305,293.44,0.01,3.105,153.7,0.125,10.095,57.19,2.035,0.041,42.345,137.7,8.295,0.595
Ash gourd,0.85,0.39,0.08,1.8,1.53,38.5,0.016,0.006,0.07,0.2,0.119,1.08,110.44,6.36,0.03,10.425,0.025,0.335,13.39,0.06,0.006,18.76,227,0.455,0.095
Avocado fruit,2.95,1.19,13.86,6.69,1.75,604,0.07,0.08,0.9,1.26,0.18,1.25,194.44,9.36,0.01,14.24,0.195,0.81,48.14,0.74,0,63.14,377,2.81,0.75
Bael fruit,2.63,0.91,0.57,6.31,28.21,569,0.03,0.04,0.25,1.62,0.03,1.14,195.44,7.5,0.11,23.975,0.075,0.23,34.1,0.1,0.042,37.29,409,1.56,0.14
Bajra,11.22,0.77,3.035,6.055,31.315,737,0.147,0.119,0.48,0.275,0.14,0.345,29.44,0.01,1.495,14.755,0.325,3.73,71.75,0.645,0.039,157.15,191.5,2.1,1.56
Bamboo shoot,1.33,0.55,0.35,1.55,1.67,68,0.06,0.06,0.25,0.22,0.13,5.93,111.44,15.74,0.03,5,0.07,0.33,8.28,0.42,0.008,39.63,422,1.12,0.37
Banana,1.335,0.936,0.282,1.881,21.439,400.5,0.009,0.027,0.406,0.339,0.426,1.39,197.94,6.148,0.01,3.884,0.058,0.289,31.706,0.276,0.009,23.035,294.838,0.964,0.126
Barley,11.45,0.64,0.75,8.14,31.03,670,0.21,0.105,1.46,0.08,0.168,1.245,30.44,0.01,0.001,16.065,0.3,0.855,27.535,0.675,0,102.4,144.2,4.54,0.885
Basella leaves,1.57,1.09,0.45,2.21,2.01,82,0.06,0.15,0.46,0.48,0.18,1.07,82.44,63.35,2.69,46.945,0.06,4.2,153,1.29,0.044,37.26,337,18.74,0.39
Bathua leaves,2.5,1.71,0.44,4.01,2.56,116,0.06,0.51,0.54,0.41,0.17,1.25,83.44,41.03,0.01,105.5,0.05,2.66,48.41,1.58,0.008,37.55,438,10.75,0.98
Bean scarlet,3.13,0.495,0.525,2.375,3.305,100,0.073,0.068,0.3,0.225,0.166,6.895,112.44,3.805,0.01,30.9,0.09,0.385,22.705,0.195,0.02,32.61,86.15,1,0.31
Beef,17.987,0.53,3.414,0.01,0.01,274.864,0.071,0.098,2.79,1.315,0.167,0.01,404.44,0.01,0.247,5.02,0.21,3.978,10.991,0.037,0.004,121.53,169.186,44.309,1.59
Beet greens,2.73,1.405,0.385,1.885,2.745,84,0.015,0.11,0.255,0.18,0.08,2.66,84.44,20.67,0.01,98.95,0.075,3.185,63.9,0.6,0.016,20.41,289.5,72.55,0.095
Beet root,2.09,0.835,0.075,1.815,3.395,79,0.006,0.006,0.11,0.15,0.04,1.375,256.44,3.055,0.205,9.765,0.075,0.44,17.955,0.34,0.005,20.585,166.45,35.135,0.195
Bengal gram,21.095,1.278,2.648,10.232,21.932,649.25,0.197,0.101,1.022,1.12,0.146,0.475,51.94,0.01,0.782,54.935,0.478,3.47,77.1,1.22,0.069,156.975,488.4,11.915,1.912
Betel leaves,2.85,1.32,0.39,1.105,3.63,100.25,0.018,0.043,0.26,0.277,0.023,0.965,85.94,13.515,1.2,107.9,0.15,1.732,58.58,1.438,0.033,28.91,335.3,8.298,0.272
Betki,15.28,1.12,0.29,0.01,0.01,284,0.01,0.04,1.54,0.4,85,0.01,442.44,0.01,0.01,4.42,0.395,0.31,24.16,0.01,0.003,188,355,63.68,0.36
Bitter gourd,1.56,0.588,0.17,2.508,1.752,56.5,0.04,0.029,0.203,0.225,0.034,4.45,114.44,35.307,0.312,10.075,0.065,0.937,23.082,0.268,0.023,31.465,234.433,8.022,0.278
Black berry,1.02,0.28,0.325,2.3,5.495,116.5,0.006,0.012,0.245,0.165,0.03,0.92,200.44,10.495,0.01,13.255,0.03,0.42,17.535,0.24,0.016,12.29,122.75,0.77,0.07
Black gram,23.125,1.642,0.862,8.165,24.138,647.25,0.14,0.053,0.958,1.972,0.204,0.6,53.94,0.01,1.1,39.235,0.4,2.938,96.3,0.922,0.159,200.05,578.125,12.93,1.618
Black snapper,19.5,1.19,1.24,0.01,0.01,377,0.01,0.02,2.89,0.54,106,0.01,443.44,0.01,0.17,4.955,0.01,0.56,26.72,0.01,0.007,195,341,41.23,0.4
Bombay duck,13.53,1.07,1.03,0.01,0.01,287,0.03,0.02,0.64,1.48,98,0.01,444.44,0.01,0.67,79.5,0.015,0.81,24.27,0.05,0.006,185,188,223,0.42
Bommuralu,22.57,0.705,1.58,0.01,0.01,249.5,0.035,0.01,1.215,0.36,43.8,0.01,445.44,0.01,0.01,32.12,0.175,0.265,16.02,0.03,0.004,118.25,188.35,32.15,0.44
Bottle gourd,0.503,0.265,0.093,1.443,1.542,36.667,0.021,0.007,0.097,0.398,0.012,1.732,117.44,3.3,0.03,8.558,0.032,0.212,8.473,0.108,0.01,16.023,103.117,0.975,0.117
Brinjal,1.579,0.567,0.261,3.119,2.849,84.682,0.048,0.086,0.425,0.254,0.062,1.509,129.94,1.639,0.077,9.33,0.063,0.308,17.513,0.157,0.011,27.049,205.68,2.761,0.178
Broad beans,3.98,0.565,0.08,4.39,1.11,63.5,0.065,0.065,0.38,0.24,0.12,5.39,141.44,5.975,0.01,34.715,0.105,0.57,21.14,0.255,0.025,38.055,188.05,10.695,0.335
Brussels sprouts,4.26,1.47,0.5,4.29,5.09,185,0.06,0.16,0.5,0.47,0.19,2.45,87.44,89.45,0.01,26.995,0.04,1.54,32.99,0.41,0.012,98.56,639,18.51,0.57
Button mushroom,3.68,0.71,0.42,3.11,1.98,115,0.01,0.03,0.68,0.43,0.12,9.23,331.44,0.01,0.13,9.19,0.045,0.29,18.3,0.15,0.009,87.11,318,7.72,0.17
Cabbage,2.007,0.654,0.169,2.17,2.692,87.75,0.024,0.044,0.26,0.361,0.168,1.166,89.94,30.575,0.58,41.582,0.022,0.889,23.721,0.449,0.01,32.044,224.25,19.035,0.191
Calf,18.322,1.038,5.658,0.01,0.01,520.556,0.136,0.242,6.082,2.861,0.388,0.01,414.44,0.01,0.217,4.564,0.128,6.693,18.789,0.046,0.01,230.222,304.889,85.609,2.45
Capsicum,1.583,0.425,0.22,1.16,1.245,43.833,0.058,0.019,0.378,0.125,0.116,3.113,143.44,64.633,0.105,9.642,0.043,0.305,10.05,0.12,0.007,19.835,119.083,0.92,0.153
Cardamom,7.755,3.978,1.448,11.82,25.568,557,0.05,0.065,0.473,0.167,0.094,2.742,294.94,0.01,4.028,197,0.515,4.695,178.5,18.013,0.178,70.625,667.775,9.17,2.282
Carrot,1.115,0.643,0.25,2.29,3.463,81.75,0.025,0.02,0.135,0.16,0.052,0.792,257.94,4.132,0.292,22.627,0.055,0.48,11.445,0.138,0.008,21.74,145.975,30.213,0.178
Cashew nut,19.36,1.165,22.635,2.165,13.08,1224.5,0.326,0.024,0.545,0.795,0.085,1.455,312.44,0.01,0.145,18.49,1.18,3.195,176.8,0.93,0.376,267.65,335.1,4.595,2.805
Cat fish,20.845,0.895,3.382,0.01,0.01,378.5,0.028,0.05,1.19,0.93,143.075,0.01,495.94,0.01,0.168,9.07,0.018,0.612,19.202,0.018,0.004,179.9,297.75,27.895,0.528
Catla,19.3,0.475,1.245,0.01,0.01,200,0.005,0.02,1.2,0.525,64.75,0.01,546.44,0.01,0.27,23.72,0.04,0.745,13.225,0.025,0.004,94.5,165,21.44,0.405
Cauliflower,2.3,0.505,0.235,1.99,1.125,50.5,0.022,0.038,0.165,0.355,0.075,1.38,145.44,27.305,0.15,14.315,0.04,0.65,13.725,0.155,0.009,28.97,192.65,17.275,0.21
Cauliflower leaves,4.77,0.67,0.22,1.845,2.045,85,0.03,0.03,0.11,0.18,0.123,0.705,92.44,26.89,0.31,56.555,0.075,1.37,21.68,0.275,0.011,32.9,194.05,14.67,0.185
Celery stalk,1.11,0.83,0.14,1.11,1.28,37.5,0.018,0.024,0.265,0.22,0.035,1.085,146.44,7.595,0.83,21.055,0.12,0.885,11.875,0.14,0.006,27.01,154.05,5.365,0.105
Chakla,20.91,0.58,1.34,0.01,0.01,221,0.035,0.03,1.56,0.35,55.18,0.01,447.44,0.01,0.01,3.82,0.555,0.255,13.225,0.005,0.004,139.15,193.35,31.28,0.475
Chelu,20.02,1.28,0.7,0.01,0.01,366,0.06,0.02,2.19,1.07,161,0.01,449.44,0.01,0.01,4.085,0.065,0.67,31.68,0.02,0.019,252,406,37.6,0.41
Chembali,20.06,0.86,1.77,0.01,0.01,406,0.03,0.06,1.8,0.27,146,0.01,450.44,0.01,0.01,11.86,0.015,0.31,30.55,0.02,0.002,211,323,38.98,0.32
Cherries,1.71,0.235,0.255,1.12,6.09,127,0.038,0.012,0.1,0.13,0.022,0.885,201.44,4.695,0.21,14.445,0.045,0.23,9.585,0.115,0.002,16.87,104.7,0.865,0.08
Chicken mushroom,1.84,0.74,0.25,1.99,2.76,89,0.37,0.06,1.45,1.48,0.11,8.94,332.44,0.45,0.01,2.415,0.21,0.3,10.78,0.18,0,79.74,340,10.22,0.55
"Chicken, poultry",19.905,0.615,6.479,0.01,0.01,506.75,0.074,0.051,3.728,0.724,0.228,2.331,357.94,0.01,0.02,10.965,0.251,0.679,11.558,0.019,0.003,98.938,138.7,35.005,0.774
Chillies,3.756,0.871,0.746,4.564,5.066,155.833,0.086,0.122,0.95,0.183,0.187,0.502,280.884,58.033,0.744,15.539,0.134,1.089,33.204,0.284,0.022,50.502,337.639,2.854,0.277
Cho,0.73,0.215,0.09,0.815,1.825,40.5,0.005,0.016,0.125,0.11,0.042,0.545,147.44,12.845,0.01,10.475,0.03,0.295,7.04,0.13,0.006,13.25,70.4,0.665,0.065
Clam,11.98,1.645,1.16,0.01,0.01,246.5,0.06,0.105,0.93,1.055,102,0.01,538.94,0.01,0.055,18.025,1.757,1.01,68.78,0.13,0.026,161.5,213,317,2.615
Cloves,6.07,3.11,4.28,17.5,9.56,393.5,0.326,0.121,0.635,0.195,0.016,1.32,297.44,0.01,3.67,318.9,0.31,5.755,188.1,33.825,0.04,50.83,760.3,103.45,0.635
Cluster beans,3.93,0.905,0.205,2.685,2.745,91.5,0.028,0.018,0.38,0.19,0.064,3.025,148.44,11.895,0.205,69.4,0.08,2.28,46.09,0.255,0.036,24.675,174.35,2.39,0.37
Coconut,5.585,0.965,26.34,6.842,3.94,1086,0.02,0.035,0.285,0.112,0.066,0.438,313.94,0.265,0.125,11.482,0.39,1.352,39.543,0.725,0.114,72.97,282.05,6.915,0.565
Coconut Water,0.3,0.355,0.09,0.01,1.775,35.5,0.005,0.005,0.025,0.14,0.033,0.115,336.44,0.375,0.03,15.875,0.015,0.035,12.11,0.32,0.038,12.555,127.5,16.25,0.025
Colocasia,1.91,0.847,0.187,1.995,4.942,111.5,0.022,0.026,0.195,0.283,0.068,2.557,186.44,3.313,0.18,18.438,0.082,0.51,14.642,0.888,0.015,28.408,296.4,1.208,0.31
Colocasia leaves,3.71,1.205,0.735,2.89,2.09,95.5,0.046,0.042,0.435,0.17,0.16,6.675,93.44,24.09,0.01,133.4,0.175,1.955,37.76,0.86,0.019,31.74,254,7.005,0.515
Coriander leaves,3.78,1.17,0.38,2.45,1.1,69.5,0.048,0.027,0.38,0.35,0.108,2.53,283.44,15.6,1.165,79.5,0.14,3.425,43.44,0.605,0.03,38.845,340,22.505,0.42
Coriander seeds,10.99,2.755,8.845,23.585,7.8,581.5,0.104,0.126,0.68,0.15,0.021,0.9,298.44,0.01,3.785,380.5,0.77,12.19,184.25,1.6,0.084,173.7,766.1,17.4,2.115
Corn,2.92,1.5,0.78,3.295,6.53,162,0.102,0.051,0.3,0.55,0.103,0.435,151.44,5.035,0.01,45.175,0.075,0.84,13.82,0.11,0,5.02,139.7,1.045,0.675
Country hen,19.008,1.177,11.71,0.01,0.01,756.25,0.115,0.075,3.718,0.82,0.45,3.925,363.94,0.01,0.01,11.329,0.112,1.4,24,0.02,0,234.75,325.25,44.72,1.822
Crab,12.94,1.297,0.967,0.01,0.01,317.667,0.023,0.09,1.39,1.01,146.333,0.01,537.773,0.01,0.633,110,0.297,1.06,61.617,0.193,0.009,167,236.333,279,2.107
Cucumber,0.923,0.37,0.152,1.645,2.213,56.167,0.015,0.007,0.25,0.258,0.038,2.208,153.44,4.738,0.073,10.803,0.035,0.38,15.02,0.06,0.006,19.477,140.667,4.85,0.125
