Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Kite fish,23.07,1.5,0.56,0.01,0.01,413,0.04,0.07,2.5,0.45,127,0.01,467.44,0.01,0.01,5.51,0.02,1.38,28.46,0.01,0.005,231,387,59.03,0.55
Knol,2.47,0.915,0.267,2.085,3.48,106.75,0.043,0.094,0.528,0.238,0.196,7.428,130.94,54.425,0.01,101.768,0.045,1.328,38.685,0.39,0.011,38.82,252.2,21.132,0.255
Korka,23.72,1.09,3.36,0.01,0.01,528,0.03,0.17,3.42,0.4,316,0.01,468.44,0.01,0.01,5.56,0.61,0.73,28.55,0.02,0.007,229,349,43.3,1.47
Kovai,1.42,0.397,0.2,2.44,1.842,60.75,0.031,0.016,0.4,0.215,0.048,2.258,163.94,16.755,0.03,19.352,0.032,0.252,15.15,0.112,0.006,23.572,141.725,1.52,0.118
Kulam paarai,21.62,1.25,3.6,0.01,0.01,501,0.06,0.01,1.97,0.57,218,0.01,469.44,0.01,0.01,7.585,0.025,0.5,30.79,0.01,0.008,244,366,49.17,0.52
Ladies finger,2.45,0.515,0.125,2.14,1.94,60,0.022,0.04,0.31,0.16,0.148,0.955,165.44,12.055,0.31,46.525,0.07,0.495,37.545,0.17,0.006,32.205,147.75,3.755,0.245
Lemon,0.46,0.155,0.385,0.001,3.765,81,0.024,0.005,0.055,0.065,0.017,1.03,220.44,26.255,0.075,12.79,0.02,0.085,4.725,0.01,0,5.19,66.05,0.72,0.05
Lentil dal,25.45,1.18,0.395,5.41,26.79,680,0.187,0.082,0.915,0.675,0.101,0.725,63.44,0.01,0.87,24.53,0.535,3.805,41.235,0.64,0.058,157.65,420.65,5.17,1.935
Lentil whole,22.97,1.785,0.47,12.86,36.352,941.5,0.328,0.172,1.945,1.355,0.356,1.29,64.94,0.01,1.268,40.005,0.483,6.015,71.915,1.232,0.138,205.85,586.9,8.255,2.612
Lettuce,2.02,0.605,0.15,1.015,1.785,53.5,0.032,0.049,0.095,0.06,0.048,1.12,100.44,7.49,0.51,29.39,0.095,1.66,30.39,0.265,0.006,27.895,178.3,10.03,0.365
Lime,0.85,0.25,0.13,1.09,2.775,59.5,0.032,0.006,0.095,0.14,0.032,1.23,221.44,27.3,0.01,15.405,0.015,0.065,8.41,0.025,0,10.91,110.7,0.81,0.03
Linseeds,18.7,1.625,18.185,13.28,5.925,936.5,0.149,0.026,0.57,0.2,0.185,10.87,321.44,0.01,0.01,135.5,0.715,3.065,184.4,1.185,0.112,232.55,350.3,19.69,2.555
Litchi,1.08,0.25,0.14,0.695,5.805,115,0.012,0.034,0.125,0.145,0.04,1.57,222.44,19.53,0.305,3.285,0.065,0.5,8.125,0.025,0.004,13.225,98.3,0.34,0.165
Lobster,17.25,1.185,0.67,0.01,0.01,333.5,0.01,0.015,1.25,1.345,186,0.01,532.94,0.01,0.09,34.875,0.152,0.56,47.75,0.055,0.006,242,263.5,165.5,1.54
Lotus root,2.26,0.8,0.495,2.37,7.56,173,0.039,0.036,0.24,0.11,0.104,1.585,260.44,16.825,3.75,20.25,0.12,2.325,14.16,1.105,0.016,40.92,358,10.98,0.23
